iter	Passed	Remaining
1357	45220	21378
1358	45253	21344
1359	45285	21310
1360	45317	21276
1361	45349	21242
1362	45382	21209
1363	45416	21176
1364	45447	21142
1365	45479	21108
1366	45513	21075
1367	45548	21042
1368	45580	21008
1369	45613	20975
1370	45645	20941
1371	45677	20907
1372	45708	20873
1373	45741	20839
1374	45773	20805
1375	45804	20772
1376	45836	20737
1377	45868	20703
1378	45900	20670
1379	45933	20636
1380	45965	20602
1381	45997	20569
1382	46029	20535
1383	46062	20501
1384	46094	20467
1385	46127	20434
1386	46159	20400
1387	46191	20367
1388	46224	20333
1389	46256	20299
1390	46289	20266
1391	46321	20232
1392	46353	20198
1393	46387	20165
1394	46418	20131
1395	46452	20098
1396	46485	20065
1397	46518	20031
1398	46551	19998
1399	46582	19963
1400	46614	19930
1401	46647	19896
1402	46678	19862
1403	46712	19829
1404	46746	19796
1405	46779	19763
1406	46811	19729
1407	46843	19695
1408	46876	19662
1409	46909	19628
1410	46942	19595
1411	46975	19562
1412	47006	19527
1413	47039	19494
1414	47070	19460
1415	47102	19426
1416	47137	19393
1417	47173	19361
1418	47205	19327
1419	47240	19295
1420	47271	19261
1421	47303	19227
1422	47335	19193
1423	47366	19159
1424	47400	19126
1425	47433	19093
1426	47466	19059
1427	47499	19026
1428	47532	18993
1429	47564	18959
1430	47598	18926
1431	47631	18893
1432	47664	18859
1433	47698	18826
1434	47730	18792
1435	47763	18759
1436	47797	18726
1437	47832	18693
1438	47866	18660
1439	47898	18627
1440	47930	18593
1441	47963	18560
1442	48004	18529
1443	48037	18496
1444	48071	18463
1445	48103	18429
1446	48136	18396
1447	48171	18363
1448	48204	18330
1449	48236	18296
1450	48270	18263
1451	48301	18229
1452	48333	18195
1453	48370	18163
1454	48401	18129
1455	48433	18095
1456	48465	18062
1457	48498	18028
1458	48530	17995
1459	48563	17961
1460	48594	17927
1461	48628	17894
1462	48661	17861
1463	48695	17828
1464	48728	17795
1465	48763	17762
1466	48796	17729
1467	48830	17696
1468	48863	17662
1469	48894	17628
1470	48927	17595
1471	48961	17562
1472	48993	17528
1473	49025	17495
1474	49058	17461
1475	49091	17428
1476	49124	17394
1477	49156	17361
1478	49188	17327
1479	49223	17294
1480	49256	17261
1481	49289	17228
1482	49322	17194
1483	49359	17162
1484	49391	17129
1485	49424	17095
1486	49456	17062
1487	49488	17028
1488	49520	16994
1489	49552	16960
1490	49585	16927
1491	49617	16893
1492	49649	16860
1493	49682	16826
1494	49714	16793
1495	49746	16759
1496	49779	16726
1497	49813	16693
1498	49845	16659
1499	49881	16627
1500	49914	16593
1501	49947	16560
1502	49979	16526
1503	50011	16493
1504	50045	16460
1505	50077	16426
1506	50111	16393
1507	50143	16359
1508	50175	16326
1509	50208	16292
1510	50240	16259
1511	50271	16225
1512	50305	16192
1513	50340	16159
1514	50372	16125
1515	50407	16093
1516	50440	16059
1517	50474	16026
1518	50506	15993
1519	50538	15959
1520	50572	15926
1521	50605	15893
1522	50645	15861
1523	50679	15828
1524	50712	15795
1525	50746	15762
1526	50778	15729
1527	50811	15695
1528	50844	15662
1529	50878	15629
1530	50910	15595
1531	50944	15562
1532	50977	15529
1533	51009	15495
1534	51041	15462
1535	51076	15429
1536	51108	15395
1537	51140	15362
1538	51173	15328
1539	51204	15294
1540	51236	15261
1541	51268	15227
1542	51300	15194
1543	51334	15160
1544	51366	15127
1545	51398	15093
1546	51431	15060
1547	51464	15027
1548	51499	14994
1549	51531	14960
1550	51564	14927
1551	51596	14893
1552	51629	14860
1553	51661	14826
1554	51695	14793
1555	51728	14760
1556	51759	14726
1557	51793	14693
1558	51824	14659
1559	51858	14626
1560	51892	14593
1561	51925	14560
1562	51957	14526
1563	51990	14493
1564	52023	14460
1565	52055	14426
1566	52087	14393
1567	52118	14359
1568	52150	14325
1569	52183	14292
1570	52215	14258
1571	52248	14225
1572	52280	14191
1573	52313	14158
1574	52345	14125
1575	52378	14091
1576	52411	14058
1577	52445	14025
1578	52476	13991
1579	52510	13958
1580	52541	13924
1581	52572	13890
1582	52606	13857
1583	52638	13824
